> FRESH supplier chain fetched 2026-07-27 via MCP broad role (temp_user lacks
> supplier-schema grant). Format: sku|supplier|container|qty|arrived|expected|recv.
LHNSE27SN|Cable Supplier|DE Container 02 2026|100|0|2026-06-20|2026-05-22
LHNSE27WH|Cable Supplier|Container 07 2026|200|0|2026-07-31|2026-07-15
LHNSE27YB|Cable Supplier|Container 7|200|1||2025-08-20
LHPOE27BM|Condieut pipelight accessoies|Container 03 2026|816|0|2026-06-19|2026-05-07
LHPOE27CH|Condieut pipelight accessoies|Container 03 2026|136|0|2026-06-19|2026-05-07
LHPOE27SN|Condieut pipelight accessoies|Container 03 2026|136|0|2026-06-19|2026-05-07
LHRIE14WH|Bakelite holders|Container 01 2026|2000|0|2026-03-16|2025-12-04
LHSHE27BA|Cable Supplier|DE Container 01 2026|1000|0|2026-01-25|2025-12-17
LHSHE27BN|Cable Supplier|Container 12|200|1|2026-01-01|2025-09-22
LHSHE27BY|Cable Supplier|DE Container 01 2026|300|0|2026-01-25|2025-12-17
LHSHE27CH|Cable Supplier|Container 16|300|0|2026-02-05|2025-12-19
LHSHE27CO|Cable Supplier|DE Container 03|200|1|2026-03-02|2025-08-18
LHSHE27GB|Cable Supplier|DE Container 01 2026|800|0|2026-01-25|2025-12-17
LHSHE27RO|Cable Supplier|DE Container 02 2026|200|0|2026-06-20|2026-05-22
LHSHE27WH|Cable Supplier|Container 16|200|0|2026-02-05|2025-12-19
LHSHE27YB|Cable Supplier|Container 14|200|0|2026-01-12|2025-10-23
LHSWPBB22CH|New Lamp Holder|Container 08 2026|100|0||2026-07-23
LHSWPBB22GD|New Lamp Holder|Container 08 2026|250|0||2026-07-23
LHSWPBB22SN|New Lamp Holder|Container 08 2026|50|0||2026-07-23
LHTHT30GD|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTHT50CF|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTHT50GD|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTMGU10CH|Assembling lady 1|Container 04 2026|100|0|2026-07-16|2026-06-01
LHTOE27YB|Condieut pipelight accessoies|Container 16|252|1||2026-01-26
LHTT10150BG|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-06-11
LHTT10200BG|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-06-11
LHTT10250BG|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-06-11
LHTT15E27CF|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTT15E27GD|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTT30E27GD|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTT50E27GD|Assembling lady 1|Container 01 2026|50|0|2026-04-11|2026-06-11
LHTTAGU10BM|Assembling lady 1|Container 17|100|1|2026-01-23|2025-12-19
LHTTAGU10EBM|Assembling lady 1|Container 01 2026|140|0|2026-04-11|2026-03-10
LHTTAGU10EYB|Assembling lady 1|Container 01 2026|75|0|2026-04-11|2026-03-10
LHTTAGU10WH|Assembling lady 1|Container 04 2026|200|0|2026-07-16|2026-06-01
LHTTAGU10YB|Assembling lady 1|Container 10|200|1||2025-09-22
LHTTE27BM|Assembling lady 1|Container 08 2026|400|0|2026-08-23|2026-07-23
LHTTE27GG|Assembling lady 1|Container 10|100|1||2025-09-22
LHTTE27WH|Assembling lady 1|Container 05 2026|100|0||2026-07-06
LHXSHE27BM|PVC lamp holder|Container 06 2026|3000|0||2026-07-15
LSACY195BG|Brushed Curvy Supplier|Container 14|200|1||2025-12-29
LSAFT200BG|Brushed Curvy Supplier|Container 14|200|1||2025-12-29
LSBS160BL|Multi colour shade supplier|Container 15|50|0|2026-01-28|2025-12-05
LSBS160BM|Multi colour shade supplier|Container 15|200|0|2026-01-28|2025-12-05
LSBS160GR|Multi colour shade supplier|DE Container 02 2026|75|0|2026-07-10|2026-05-22
LSBS160GY|Multi colour shade supplier|Container 15|200|0|2026-01-28|2025-12-05
LSBS160NB|Multi colour shade supplier|Container 15|100|0|2026-01-28|2025-12-05
LSBS160RE|Multi colour shade supplier|DE Container 02 2026|50|0|2026-07-10|2026-05-22
LSBS160WH|Multi colour shade supplier|Container 15|100|0|2026-01-28|2025-12-05
LSBS160YE|Multi colour shade supplier|Container 15|200|0|2026-01-28|2025-12-05
LSCA2L500SG|BI Chandelier Supplier|Container 14|10|1||2025-09-09
LSCA2L600SG|BI Chandelier Supplier|Container 14|10|1||2025-09-09
LSCA400BF|BI Chandelier Supplier|Container 14|10|1||2025-09-09
LSCA500SG|BI Chandelier Supplier|Container 14|10|1||2025-09-09
LSCASN3BCL|Assembling lady 1|Container 01 2026|62|0|2026-04-11|2026-06-11
LSCASN5BCL|Assembling lady 1|Container 01 2026|65|0|2026-04-11|2026-06-11
LSCP150BA|Multi colour shade supplier|DE Container 03|100|0|2025-11-08|2025-08-15
LSCP150GY|Multi colour shade supplier|Container 02 2026|50|0|2026-04-30|2026-03-31
LSCP150WH|Multi colour shade supplier|Container 10|50|0|2025-11-08|2025-09-19
LSCY210BC|Brushed Curvy Supplier|DE Container 01 2026|160|0|2026-01-20|2025-12-17
LSCY210BG|Brushed Curvy Supplier|DE Container 03|200|1||2025-08-18
LSCY210BM|Brushed Curvy Supplier|Container 16|200|1|2025-12-31|2025-12-04
LSCY210BS|Brushed Curvy Supplier|DE Container 02 2026|60|0|2026-06-12|2026-05-22
LSCY290BB|Brushed Curvy Supplier|Container 8|80|1||2025-07-28
LSCY290BC|Brushed Curvy Supplier|Container 8|200|1||2025-07-28
LSCY290BG|Brushed Curvy Supplier|Container 8|250|1||2025-07-28
LSCY290BI|Multi colour curvy shade supplier|DE Container 03|200|1||2025-08-15
LSCY290BL|Multi colour curvy shade supplier|Container 8|500|1||2025-07-28
LSCY290BM|Brushed Curvy Supplier|Container 8|600|1||2025-07-28
LSCY290BS|Brushed Curvy Supplier|Container 8|400|1||2025-07-28
LSCY290BU|Multi colour curvy shade supplier|DE Container 03|100|1||2025-08-15
LSCY290CB|Multi colour curvy shade supplier|DE Container 03|300|1||2025-08-15
LSCY290CH|Ceiling rose guy|Container 13|300|0|2026-01-10|2025-10-24
LSCY290CO|Ceiling rose guy|Container 14|495|1|2025-12-27|2025-10-15
LSCY290GB|Ceiling rose guy|Container 14|300|1|2025-12-27|2025-10-15
LSCY290GR|Multi colour curvy shade supplier|Container 10|500|1||2025-09-23
LSCY290GY|Multi colour curvy shade supplier|Container 8|350|1||2025-07-28
LSCY290NB|Multi colour curvy shade supplier|Container 8|200|1||2025-07-28
LSCY290OR|Multi colour curvy shade supplier|Container 8|200|1||2025-07-28
LSCY290RE|Multi colour curvy shade supplier|Container 8|100|1||2025-07-28
LSCY290RO|Ceiling rose guy|Container 12|300|1||2025-08-25
LSCY290RR|Brushed Curvy Supplier|Container 16|200|1|2025-12-31|2025-12-04
LSCY290SN|Ceiling rose guy|Container 12|100|1||2025-08-25
LSCY290WH|Multi colour curvy shade supplier|Container 8|200|1||2025-07-28
LSCY290YB|Ceiling rose guy|Container 12|300|1||2025-08-25
LSCY290YE|Multi colour curvy shade supplier|Container 8|200|1||2025-07-28
LSCYRO120GD|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
LSCYRO200GD|Different type of wire cage|mixed|48|1|2026-01-25|2025-07-16
LSCYRO300GD|Different type of wire cage|mixed|48|1|2026-01-25|2025-07-16
LSDM220CO|Ceiling rose guy|Container 14|108|1|2025-12-27|2025-10-15
LSDO210BB|Brushed Curvy Supplier|DE Container 03|80|1||2025-08-18
LSDO210BC|Brushed Curvy Supplier|Container 8|300|1||2025-07-28
LSDO210BG|Brushed Curvy Supplier|Container 8|600|1||2025-07-28
LSDO210BI|Brushed Curvy Supplier|Container 16|250|1|2025-12-31|2025-12-04
LSDO210BL|Brushed Curvy Supplier|Container 01 2026|50|0|2026-04-06|2026-03-10
LSDO210BM|Brushed Curvy Supplier|Container 16|300|1|2025-12-31|2025-12-04
LSDO210BS|Brushed Curvy Supplier|DE Container 03|80|1||2025-08-18
LSDO210GR|Brushed Curvy Supplier|Container 9|100|1||2025-08-21
LSDO210GY|Brushed Curvy Supplier|Container 10|100|1|2025-11-01|2025-09-22
LSDO210NB|Brushed Curvy Supplier|DE Container 03|50|1||2025-09-09
LSDO210OR|Brushed Curvy Supplier|DE Container 03|50|1||2025-09-09
LSDO210RE|Brushed Curvy Supplier|DE Container 03|100|1||2025-08-18
LSDO210RR|Brushed Curvy Supplier|Container 10|50|1|2025-11-01|2025-09-22
LSDO210WH|Brushed Curvy Supplier|Container 8|150|1||2025-07-28
LSDO210YE|Brushed Curvy Supplier|Container 8|100|1||2025-07-28
LSDO300BM|Multi colour shade supplier|Container 7|200|1||2025-07-29
LSDO300CB|Multi colour shade supplier|Container 10|50|0|2025-11-08|2025-09-19
LSDO300GY|Multi colour shade supplier|Container 08 2026|50|0||2026-07-23
LSDO300SN|Ceiling rose guy|DE Container 02 2026|20|0||2026-05-22
LSDO300WH|Multi colour shade supplier|Container 10|75|0|2025-11-08|2025-09-19
LSDO300YB|Ceiling rose guy|Container 07 2026|50|0||2026-07-15
LSDO400BM|Multi colour shade supplier|Container 10|150|0|2025-11-08|2025-09-19
LSDO400CB|Multi colour shade supplier|Container 02 2026|50|0|2026-04-30|2026-03-31
LSDO400OR|Multi colour shade supplier|Container 15|50|0|2026-01-10|2025-12-04
LSDO400RE|Multi colour shade supplier|Container 02 2026|150|0|2026-04-30|2026-03-31
LSDO400WH|Multi colour shade supplier|Container 08 2026|50|0||2026-07-23
LSDO400YE|Multi colour shade supplier|Container 10|50|0|2025-11-08|2025-09-19
LSF1HT300HE|Hemp Supplier|Container 02 2026|50|0|2026-05-16|2026-03-31
LSF1HT400HE|Hemp Supplier|Container 15|50|1|2026-01-08|2025-12-01
LSFRE3FTPYBM|Assembling Lady 2|Container 01 2026|50|0|2026-05-05|2026-03-10
LSFRE3ROPCCH|Assembling Lady 2|Container 01 2026|50|0|2026-05-05|2026-03-10
LSFRO3ROPWFG|Assembling Lady 2|Container 01 2026|50|0|2026-05-05|2026-03-10
LSFT220BB|Brushed Curvy Supplier|Container 16|150|1|2025-12-31|2025-12-04
LSFT220BC|Brushed Curvy Supplier|DE Container 03|100|1||2025-08-18
LSFT220BG|Brushed Curvy Supplier|Container 8|200|1||2025-07-28
LSFT220BI|Multi colour shade supplier|Container 7|200|1||2025-07-29
LSFT220BL|Multi colour shade supplier|Container 15|200|0|2026-01-10|2025-12-04
LSFT220BM|Brushed Curvy Supplier|DE Container 03|350|1||2025-08-18
LSFT220BS|Brushed Curvy Supplier|US Container 02|150|1|2025-12-19|2025-12-04
LSFT220CH|Ceiling rose guy|Container 12|100|1||2025-08-25
LSFT220CO|Ceiling rose guy|DE Container 03|150|1||2025-08-18
LSFT220FG|Ceiling rose guy|Container 14|100|1|2025-12-27|2025-10-15
LSFT220GB|Ceiling rose guy|Container 12|200|1||2025-08-25
LSFT220GR|Multi colour shade supplier|Container 7|400|1||2025-07-29
LSFT220GS|Black shade with border gold line supplier|DE Container 01 2026|150|0|2026-01-10|2025-12-17
LSFT220GY|Multi colour shade supplier|Container 7|300|1||2025-07-29
LSFT220OR|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSFT220RE|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSFT220RO|Ceiling rose guy|US Container 02|100|1|2025-12-26|2025-11-27
LSFT220SN|Ceiling rose guy|Container 13|100|0|2026-01-10|2025-10-24
LSFT220WH|Multi colour shade supplier|Container 7|400|1||2025-07-29
LSFT220YB|Ceiling rose guy|Container 9|200|1||2025-11-12
LSFT220YE|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSFT255BD|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSFT255BT|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSFT255CB|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSFT255GR|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSFT255GY|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSFT255RE|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSFT255WH|Brushed Curvy Supplier|Container 14|100|1||2025-12-29
LSGD280AR|Glass shade supplier|Container 11|72|0||2025-10-15
LSGG200AR|Glass shade supplier|Container 8|104|1||2025-08-20
LSGL100145BL|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGL10014AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGL10014CL|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGL12010AR|New clear glass supplier|Container 04 2026|216|0||2026-06-04
LSGL12010FC|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGL12010FW|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGL14010CL|New clear glass supplier|Container 04 2026|1008|0||2026-06-04
